PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
Dan Esler,Replied,data is with EVOSTC,marineBirds,815,Normal,2011,2011,,,EVOS,
Mike Gracz,Emailed,Project Data - follow-up with Will Schlein,mapping,816,Normal,2003,2003,,,Cook Inletkeeper,
Alex Wertheimer,Emailed,project data follow-up,fish,818,Normal,1995,1998,,,NOAA,
Alex Wertheimer,Emailed,hydrocarbon DB,fish,820,Normal,1989,1992,,,NOAA,
Dold Schell,Replied,Project Data,fish,822,High,1996,1998,,,UAF,
Dold Schell,Emailed,Project Data,mammals,824,Normal,1999,2001,,,UAF,
Jeff Olsen,Replied,Release numbers in fil report,fish,828,Normal,1994,1994,,,PWSAC,
Merlyn Schelske,Unrecoverable,Field surveys,fish,832,Normal,1997,1998,,data lost,USFS,
Merlyn Schelske,Unrecoverable,Interview transcripts,fish,832,Normal,1997,1998,,data lost,USFS,
Glenn Ford,Published,hydrocarbon database + no fil report,marineBirds,836,Normal,1989,1991,,,Ecological Consulting,
Dan Moore,Unrecoverable,"no fil report, no info",fish,843,Normal,1994,1994,,no contact info,USGS,
Jennifer Nielsen,Replied,follow-up with Philip,fish,845,High,2000,2002,,,USGS,
Walter Megack,Emailed,Follow-up with Walter,fish,847,Normal,1997,2000,,,Port Graham,
Keith Miles,Emailed,with USGS otter data?,mammals,855,Normal,2009,2009,,,USGS,
Lindsey Hayes,Replied,Ask David Irons,marineBirds,859,Normal,1994,1994,,,USFWS,
Evelyn Brown,Emailed,subject to data policy,fish,872,Normal,2002,2003,,,ADFG/independent,
Brad Andres,SentData,hydrocarbon database,marineBirds,882,Normal,1992,1992,,,USFWS,
Brad Andres,SentData,hydrocarbon database,marineBirds,884,Normal,1994,1994,,,USFWS,
Brad Andres,SentData,hydrocarbon database,marineBirds,885,Normal,1989,1992,,,USFWS,
John Whitney,Replied,project data,habitat,890,Normal,2002,2002,,,NOAA,
Carl Schoch,Replied,project data,habitat,892,Normal,2003,2004,,,PWSSC,
Don Calkins,Emailed,no report,mammals,903,Normal,1989,1989,,,Alaska SeaLife Center,
Not Available,Unrecoverable,no info or report,marineBirds,905,Normal,1989,1989,,no contact info,,
Not Available,Unrecoverable,no info or report,anthropogenic,907,Normal,1989,1991,,no contact info,,
Charlie Trowbridge,Published,hydrocarbon database,inverts,914,Normal,1989,1992,,,ADFG,
Charlie Trowbridge,Published,hydrocarbon database,inverts,916,Normal,1989,1992,,,ADFG,
Joan Braddock,Unrecoverable,project data - origils lost,oil,918,Normal,1995,1997,,non digital,UAF,
Mark Udevitz,Replied,dataset,mammals,920,Normal,1993,1993,,,USGS,
Asit Mazumder,Replied,project data,terrestrial,923,Normal,2003,2003,,,U. Vic,
Jim Gibeaut,Emailed,project data,oil,928,Normal,1993,1993,,,Texas A&M,
Jim Gibeaut,Emailed,project data,oil,929,Normal,1995,1996,,,Texas A&M,
Kathrin Sundet,Replied,project data,habitat,932,Normal,1992,1993,,,ADFG,
James Faro,Unrecoverable,project data,oil,933,Normal,1992,1992,,data lost,ADFG,
James Faro,Unrecoverable,project data,terrestrial,934,Normal,1989,1992,,data lost,ADFG,
Douglas Wolfe,Unrecoverable,project data,oil,935,Normal,2004,2006,,no contact info,NOAA,
Robert Olson,Unrecoverable,project data,habitat,936,Normal,1995,1995,,no contact info,USGS,
Art Weiner,Unrecoverable,project data,habitat,937,Normal,1993,1995,,no contact info,ADNR,
Jack Anderson,Unrecoverable,project data,oil,938,Normal,1996,1996,,no contact info,Columbia analysitcal services,
Malin Babcock,Unrecoverable,"project data - Retired, no info",fish,939,Normal,1993,1993,,no contact info,ADFG,
Malin Babcock,Unrecoverable,"project data - retired, no info.",oil,940,Normal,1991,1992,,no contact info,ADFG,published
