PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,category,
Eric Meyers,Emailed,project data,terrestrial,1119,Normal,1994,1994,,,USFWS,,,
Esler,Published,,marineBirds,,,2000,2009,population data,,USGS,,,
Evan Haynes,Replied,trawl survey,fish,1450,Normal,1989,1991,,,NOAA,,,
Evan Haynes,SentData,shellfish/bottomfish injury - hydrocarbon DB,fish,1450,Normal,1989,1992,,,NOAA,,,
Evelyn Brown,Emailed,subject to data policy,fish,872,Normal,2002,2003,,,ADFG/independent,,,
Fries Carol,Published,,anthropogenic,,,1993,2004,maps,,ADNR,,,
Fall,Published,,anthropogenic,,,1998,1999,resource use,,EVOSTC,,,
Feder,Published,,inverts,,,1989,1991,infau inverts,,UAF,,,
Ferren,Published,,fish,,,1994,1997,,,PWS Aquaculture Association,,,
Fred Allendorf,Emailed,190 - Dataset,fish,1216,Normal,1996,2003,,,U. Montana,,,
Frost,Published,,mammals,,,1975,2001,,,ADFG,,,
Frost,Published,,mammals,,,1989,1992,,,ADFG,,,
Frost,Published,,mammals,,,1989,2001,,,ADFG,,,
Gail Irvine,Replied,Project Data,inverts,585,Normal,1991,1991,,,USGS,,,
Gail Irvine,Replied,Project Data,oil,583,Normal,1999,1999,,,USGS,,,
Gail Irvine,Replied,Project Data follow-up May,oil,336,Normal,1994,1994,,,USGS,,,
Gail Irvine,Replied,Project Data,habitat,587,Normal,2004,2004,,,USGS,,,
Gail Irvine,Replied,Project Data,habitat,581,Normal,2002,2003,,,USGS,,,
Gary Kompkoff,Unrecoverable,film - at ARLIS,anthropogenic,996,Normal,1998,1998,,no data generated,ADFG,,,
Gary Kompkoff,Unrecoverable,Project Data - no info,fish,599,Normal,1995,2000,,no contact info,ADFG,,,
Gary Marty,Unrecoverable,Refused to share data,oil,702,Normal,1989,1990,,unwilling to share,NOAA,,,
Gary Marty,Unrecoverable,Refused to share data,fish,700,Normal,1994,1995,,unwilling to share,NOAA,,,
Gary Marty,Unrecoverable,Refused to share data,fish,698,Normal,2000,2003,,unwilling to share,NOAA,,,
Gary Shigeka,Replied,project data,inverts,946,Normal,2007,2007,,,ADFG,,,
Gary Thomas,Emailed,Project Data,fish,1004,Normal,1998,2001,,,U Miami,,,
Gary Thomas,Emailed,320-N dataset,plankton,957,Normal,1994,1999,,,U Miami,,,
Gayle Hansen,Replied,Algae table - follow-up Sept. 2013,habitat,398,Low,2001,2001,,,OSU,,,
Geoffrey Coble,Emailed,139-A2 - Dataset,terrestrial,1222,Normal,1997,2000,,,coble geophysics,,,
Glenn Ford,Unrecoverable,model - no data,modeling,950,Normal,1997,2000,,,Ecological Consulting,,,
Glenn Ford,Published,hydrocarbon database + no fil report,marineBirds,836,Normal,1989,1991,,,Ecological Consulting,,,
Graham Worthy,Unrecoverable,project data - origils lost,fish,798,Normal,1995,1995,,data lost,University of Central Florida,,,
Greg Ruggerone,Replied,project data,fish,772,Normal,1996,1996,,,PWSAC,,,
Hal Geiger,Unrecoverable,Project Data - origils hard copy,modeling,576,Normal,1990,1992,,requested funding,ADFG,,,
Haldorson,Published,,fish,,,1995,1998,,,UAF,,,
"Hayes, Kuletz, Irons",Published,,marineBirds,,,1995,2000,nesting,,USFWS,,,
Highsmith,Published,,fish,,,1989,1991,,,UAF,,,
Highsmith,Published,,habitat,,,1990,1995,habitat assessment,,UAF,,,
Honnold,Published,,fish,,,1992,1993,,,ADFG,,,
Hoover-Miller,Published,,mammals,,,1979,2007,,,Alaska SeaLife Center,,,
Hopcroft,Published,,oceanography,,,1997,2011,plankton,,UAF,,,
Hopcroft,Published,,oceanography,,,1998,2009,waterQual/ocn,,UAF,,,
Hopcroft,Published,,oceanography,,,1997,2010,oceanography,,UAF,,,
