PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Thomas Okey,Replied,Origil Ecopath Model Dataset,modeling,622,Normal,1998,2000,NA,NA,U. Vic,marine,ecosystem/habitat,
Thomas Okey,Replied,Updated Ecopath Model Dataset,modeling,622,Normal,1998,2000,NA,NA,U. Vic,marine,ecosystem/habitat,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,627,High,1993,1994,NA,NA,USGS,marine,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,629,High,2001,2001,NA,NA,USGS,marine,biological-mammals,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,fish,631,High,2004,2004,NA,NA,USGS,marine,biological-mammals,
Brenda Ballachey,Replied,MM06-D: Sea Otter Prey Selection and Foraging Success in Western PWS,mammals,634,Normal,1992,1992,NA,NA,USGS,marine,biological-mammals,
Brenda Ballachey,Replied,MM06 series,mammals,634,High,1989,1989,NA,NA,USGS,marine,biological-mammals,
Dan Monson,Emailed,MM06-15: Age Distributions of Sea Otters Found Dead,mammals,634,Normal,1992,1992,NA,NA,USGS,marine,biological-mammals,
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,637,High,1995,1995,NA,NA,USFWS,terrestrial/freshWater,biological-birds,
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,639,High,1989,1992,NA,NA,USFWS,terrestrial/freshWater,biological-birds,
David Irons,Replied,Project Data,marineBirds,643,Low,1995,1995,NA,NA,USFWS,marine,biological-birds,
Jeep Rice,Replied,Project Data,oil,646,Low,2002,2003,NA,NA,NOAA,marine,chemical,
Jeep Rice,Replied,Project Data,oil,648,Low,2003,2004,NA,NA,NOAA,marine,chemical,
Jeep Rice,Replied,Project Data,fish,650,Low,2004,2004,NA,NA,NOAA,marine,biological-fish,
Jia Wang,Replied,Follow-up for model code with Jia,modeling,661,Normal,1995,1998,NA,NA,UAF,marine,ecosystem/habitat,
Mark Carls,Emailed,Project Data,fish,665,Normal,1995,1996,NA,NA,NOAA,marine,biological-fish,
