PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes,project
Malin Babcock,Unrecoverable,"project data - Retired, no info",fish,939,Normal,1993,1993,NA,no contact info,ADFG,marine,biological-fish,,Unrecoverable-939
Malin Babcock,Published,"project data - retired, no info.",oil,940,Normal,1991,1992,NA,no contact info,ADFG,marine,oil,origUnrecoverable,Published-940
Dave Erikson,Emailed,project data,habitat,941,Normal,1999,1999,NA,NA,URS,marine,biological-habitat,,Emailed-941
Patty Brown-Schwalenberg,Unrecoverable,project data,inverts,942,Normal,1995,1999,NA,no contact info,Chugach Regional Resources Commission,marine,biological-benthicInverts,,Unrecoverable-942
Christine Brodersen,Replied,monitoring data,oil,943,Normal,1997,1999,NA,NA,NOAA,marine,oil,,Replied-943
Gary Shigeka,Replied,project data,inverts,946,Normal,2007,2007,NA,NA,ADFG,marine,biological-benthicInverts,,Replied-946
Glenn Ford,Unrecoverable,model - no data,modeling,950,Normal,1997,2000,NA,no data generated,Ecological Consulting,marine,modeling,,Unrecoverable-950
Mark Willette,Replied,670-Dataeset,fish,952,Normal,2003,2006,NA,NA,ADFG,marine,biological-fish,,Replied-952
Gary Thomas,Emailed,320-N dataset,plankton,957,Normal,1994,1999,NA,NA,U Miami,marine,biological-plankton,,Emailed-957
Kenneth Goldman,Replied,#639 Dataset,oceanography,964,High,2004,2004,NA,NA,ADFG,marine,physical,,Replied-964
Peter McRoy,Replied,#320-G dataset,plankton,966,Normal,1994,1999,NA,NA,UAF,marine,biological-plankton,,Replied-966
Dia Stram,Replied,#671-dataset,oceanography,968,High,2002,2002,NA,NA,NOAA,marine,physical,,Replied-968
Steve Baird,Emailed,#743-Coastwalk dataset and ESRI shapefile metadata,habitat,971,Normal,2005,2005,NA,NA,ADFG,marine,biological-habitat,,Emailed-971
William Hauser,Emailed,#612-dataset,habitat,976,Normal,2002,2002,NA,NA,ADFG,marine,biological-habitat,,Emailed-976
Bob Crumley,Unrecoverable,Student data - various - multiple CDs,misc projects,982,Normal,1996,2007,NA,data lost,Chugach School District,marine,biological-birds,,Unrecoverable-982
Gary Kompkoff,Unrecoverable,film - at ARLIS,anthropogenic,996,Normal,1998,1998,NA,no data generated,ADFG,NA,social,,Unrecoverable-996
Russell Kunibe,Emailed,A broken URL to website; contact to find out if any unique data,dataMgmt,1000,Normal,1999,2001,NA,NA,AK Dept of Envtl Cons,NA,social,,Emailed-1000
Gary Thomas,Emailed,Project Data,fish,1004,Normal,1998,2001,NA,NA,U Miami,marine,biological-fish,,Emailed-1004
Vince Patrick,Unrecoverable,model: population development of Pacific herring in Prince William Sound,modeling,1006,Normal,1994,1998,NA,no data generated,PWSSC,marine,modeling,,Unrecoverable-1006
William Hauser,Replied,B10 - Dataset,marineBirds,1014,Normal,1989,1989,NA,NA,ADFG,marine,biological-birds,,Replied-1014
William Hauser,Emailed,B13 - dataset,marineBirds,1016,Normal,1989,1990,NA,NA,ADFG,marine,biological-birds,,Emailed-1016
Jaqueline Michel,Replied,#801 - dataset,oil,1018,Normal,2007,2007,NA,NA,Research & Plannning Inc.,marine,oil,,Replied-1018
Jaqueline Michel,Emailed,#778 - dataset,oil,1020,Normal,2005,2005,NA,NA,Research & Plannning Inc.,marine,oil,,Emailed-1020
Nate Bickford,Replied,#782 - dataset,fish,1022,Normal,2006,2007,NA,NA,U. Great Falls,marine,biological-fish,,Replied-1022
K. Roth,Replied,FS06 - Dataset,fish,1024,Normal,1989,1989,NA,NA,ADFG,marine,biological-fish,,Replied-1024
Richard Carson,Emailed,Project data,anthropogenic,1026,Normal,1989,1991,NA,NA,UCSD,NA,social,,Emailed-1026
Edward Mills,Emailed,Data - no report,anthropogenic,1028,Normal,1989,1991,NA,NA,Cornell Univ.,NA,social,,Emailed-1028
Not Available,Unrecoverable,Project Data - no info or report,anthropogenic,1030,Normal,1989,1991,NA,no contact info,NA,NA,social,,Unrecoverable-1030
Not Available,Unrecoverable,Project Data - no info or report,anthropogenic,1032,Normal,1989,1991,NA,no contact info,NA,NA,social,,Unrecoverable-1032
Dave Roseneau,Emailed,survey results of community interest - no report,fish,1036,Normal,2002,2003,NA,NA,USFWS,marine,biological-fish,,Emailed-1036
Tom Turner,Emailed,Pollutant assessment,anthropogenic,1049,Normal,1999,2002,NA,NA,ADFG,NA,social,,Emailed-1049
Jerome Selby,Emailed,pollutant review?,anthropogenic,1055,Normal,1997,1999,NA,NA,Kodiak AK,NA,social,,Emailed-1055
Jim Edmundson,Replied,lake fish data?,terrestrial,1058,Normal,1997,1998,NA,NA,ADFG,terrestrial/freshWater,biological-fish,,Replied-1058
